date,returns_austria,returns_belgium,returns_finland,returns_france,returns_germany,returns_greece,returns_ireland,returns_italy,returns_netherlands,returns_portugal,returns_spain,returns_sweden,returns_switzerland,returns_uk,,EUI
25/04/2014,-1.58%,-0.75%,-1.42%,-0.80%,-1.55%,-1.33%,-0.94%,-1.75%,-1.08%,-1.45%,-1.50%,-0.70%,-0.43%,-0.30%,,116
26/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,,116
27/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.02%,-0.05%,,116
28/04/2014,0.10%,0.07%,-0.57%,0.38%,0.48%,-4.26%,-0.85%,0.34%,0.22%,0.24%,0.14%,0.27%,0.11%,0.17%,,116
29/04/2014,1.87%,0.27%,2.01%,0.83%,1.45%,2.01%,0.92%,2.13%,1.20%,1.13%,1.35%,1.04%,0.52%,1.43%,,116
30/04/2014,-0.07%,-0.85%,-0.05%,-0.23%,0.20%,-0.04%,0.35%,-0.88%,0.52%,0.24%,-0.02%,0.14%,0.47%,0.05%,,116
01/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,-0.18%,0.10%,0.51%,,146
02/05/2014,0.09%,0.19%,0.05%,-0.65%,-0.49%,0.65%,0.55%,0.00%,-0.33%,0.99%,0.15%,-0.37%,-0.30%,0.06%,,146
03/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,146
04/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.03%,0.04%,0.02%,,146
05/05/2014,-1.01%,-0.21%,-0.14%,0.10%,-0.28%,6.33%,0.00%,-0.66%,-0.45%,-0.17%,0.02%,-0.78%,-0.42%,-0.06%,,146
06/05/2014,-0.87%,0.01%,-0.22%,-0.78%,-0.65%,-4.14%,-0.47%,-0.55%,-0.23%,0.45%,0.04%,0.05%,-0.14%,-0.09%,,146
07/05/2014,-0.39%,0.60%,0.34%,0.41%,0.57%,-2.77%,-1.14%,-1.31%,0.52%,-1.69%,-0.65%,-0.68%,0.22%,-0.03%,,146
08/05/2014,0.73%,1.18%,1.34%,1.36%,0.90%,4.25%,1.56%,2.28%,1.10%,0.18%,1.69%,1.27%,0.57%,1.00%,,146
09/05/2014,-0.27%,-0.03%,-0.10%,-0.67%,-0.27%,-1.83%,-0.97%,-1.57%,-0.26%,-1.80%,-0.99%,-0.45%,0.38%,-0.29%,,146
10/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.01%,0.01%,,146
11/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.05%,,146
12/05/2014,0.42%,0.62%,0.79%,0.36%,1.26%,-2.73%,0.38%,0.48%,0.46%,0.95%,0.76%,0.80%,0.29%,0.64%,,146
13/05/2014,-0.57%,-0.23%,1.13%,0.25%,0.53%,0.05%,-0.68%,-1.11%,0.22%,-0.73%,0.19%,1.32%,0.11%,0.46%,,146
14/05/2014,-0.40%,0.04%,-0.41%,-0.09%,0.00%,-2.80%,-0.99%,-0.33%,-0.33%,-3.41%,0.25%,-0.02%,0.75%,-0.39%,,146
15/05/2014,-2.28%,-1.45%,-1.05%,-1.25%,-1.01%,0.54%,-3.07%,-3.68%,-0.77%,-2.68%,-2.37%,0.54%,0.28%,-0.37%,,146
16/05/2014,-0.65%,-0.45%,-0.58%,0.26%,-0.28%,-3.48%,-0.33%,1.12%,-0.17%,0.12%,1.09%,0.00%,0.36%,0.45%,,146
17/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%,0.01%,-0.27%,,146
18/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.03%,0.34%,,146
19/05/2014,0.31%,0.23%,0.73%,0.30%,0.31%,0.63%,2.60%,-1.61%,0.37%,0.03%,-0.51%,-0.69%,-0.50%,-0.32%,,146
20/05/2014,-0.51%,0.00%,0.77%,-0.39%,-0.21%,-2.02%,-0.20%,0.30%,-0.06%,-0.05%,0.27%,0.14%,-0.04%,-0.42%,,146
21/05/2014,0.20%,0.42%,0.59%,0.37%,0.61%,3.34%,1.03%,1.06%,0.52%,-0.57%,0.74%,0.75%,0.18%,0.74%,,146
22/05/2014,1.65%,0.31%,0.54%,0.21%,0.24%,1.05%,0.55%,-1.10%,0.31%,0.30%,-0.10%,0.09%,0.55%,0.05%,,146
23/05/2014,0.98%,0.05%,0.25%,0.33%,0.48%,-0.14%,-0.14%,1.81%,0.25%,0.58%,0.36%,-0.34%,0.10%,-0.15%,,146
24/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,,146
25/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,-0.02%,0.10%,,146
26/05/2014,1.23%,0.50%,0.41%,0.75%,1.27%,0.00%,0.91%,3.54%,0.43%,1.01%,1.21%,0.29%,0.08%,-0.11%,,146
27/05/2014,0.91%,0.27%,-0.21%,0.06%,0.48%,0.00%,0.32%,-0.42%,-0.02%,1.00%,0.25%,0.20%,-0.16%,0.32%,,146
28/05/2014,0.25%,0.25%,-0.43%,0.04%,-0.02%,6.08%,0.62%,0.85%,-0.21%,1.08%,0.40%,-0.19%,0.08%,-0.19%,,146
29/05/2014,0.00%,0.01%,0.00%,-0.02%,0.00%,2.34%,-0.31%,-0.35%,0.37%,-0.86%,-0.21%,-0.08%,-0.01%,0.28%,,146
30/05/2014,0.33%,-0.09%,0.08%,-0.24%,0.04%,-1.60%,-0.26%,0.55%,-0.06%,0.56%,0.59%,-0.35%,-0.36%,-0.43%,,146
31/05/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,146
01/06/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.03%,0.07%,,112
